sdfgdsg,,,,,,,,,,,,,,
 System,Band,Test Item,Ch,Cell Power,Lower,Upper,Unit,Result,Judgement,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @-7.5MHZ;10MHZ;QPSK-FRB,20525,-57.2,None,-32.2,dB,-43.99,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 7.5MHZ;10MHZ;QPSK-FRB,20525,-57.2,None,-32.2,dB,-45.03,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 12.5MHZ;10MHZ;QPSK-FRB,20525,-57.2,None,-35.2,dB,-50.24,PASS,,,,,
 LTE-FDD,5,6.6.2.3 Adjacent Channel Power;10MHZ;16QAM-PRB@0,20525,-57.2,None,None,dB,24.16,PASS,,,,,
 LTE-FDD,5,6.6.2.3-EUTRA @-10MHZ;10MHZ;16QAM-PRB@0,20525,-57.2,None,-29.2,dB,-42.93,PASS,,,,,
 LTE-FDD,5,6.6.2.3-EUTRA @ 10MHZ;10MHZ;16QAM-PRB@0,20525,-57.2,None,-29.2,dB,-54.06,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @-12.5MHZ;10MHZ;16QAM-PRB@0,20525,-57.2,None,-35.2,dB,-57.18,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @-7.5MHZ;10MHZ;16QAM-PRB@0,20525,-57.2,None,-32.2,dB,-43.45,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 7.5MHZ;10MHZ;16QAM-PRB@0,20525,-57.2,None,-32.2,dB,-57.3,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 12.5MHZ;10MHZ;16QAM-PRB@0,20525,-57.2,None,-35.2,dB,-58.31,PASS,,,,,
 LTE-FDD,5,6.6.2.3 Adjacent Channel Power;10MHZ;16QAM-PRB@Max,20525,-57.2,None,None,dB,24.09,PASS,,,,,
 LTE-FDD,5,6.6.2.3-EUTRA @-10MHZ;10MHZ;16QAM-PRB@Max,20525,-57.2,None,-29.2,dB,-53.66,PASS,,,,,
 LTE-FDD,5,6.6.2.3-EUTRA @ 10MHZ;10MHZ;16QAM-PRB@Max,20525,-57.2,None,-29.2,dB,-40.67,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @-12.5MHZ;10MHZ;16QAM-PRB@Max,20525,-57.2,None,-35.2,dB,-57.63,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @-7.5MHZ;10MHZ;16QAM-PRB@Max,20525,-57.2,None,-32.2,dB,-57.09,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 7.5MHZ;10MHZ;16QAM-PRB@Max,20525,-57.2,None,-32.2,dB,-41.14,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 12.5MHZ;10MHZ;16QAM-PRB@Max,20525,-57.2,None,-35.2,dB,-56.69,PASS,,,,,
 LTE-FDD,5,6.6.2.3 Adjacent Channel Power;10MHZ;16QAM-FRB,20525,-57.2,None,None,dB,23.04,PASS,,,,,
 LTE-FDD,5,6.6.2.3-EUTRA @-10MHZ;10MHZ;16QAM-FRB,20525,-57.2,None,-29.2,dB,-40.41,PASS,,,,,
 LTE-FDD,5,6.6.2.3-EUTRA @ 10MHZ;10MHZ;16QAM-FRB,20525,-57.2,None,-29.2,dB,-40.61,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @-12.5MHZ;10MHZ;16QAM-FRB,20525,-57.2,None,-35.2,dB,-46.09,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @-7.5MHZ;10MHZ;16QAM-FRB,20525,-57.2,None,-32.2,dB,-42.82,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 7.5MHZ;10MHZ;16QAM-FRB,20525,-57.2,None,-32.2,dB,-42.46,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 12.5MHZ;10MHZ;16QAM-FRB,20525,-57.2,None,-35.2,dB,-47.59,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3 Adjacent Channel Power for UL 64QAM;10MHZ;64QAM-PRB@0,20525,-57.2,None,None,dB,24.03,-,,,,,
 LTE-FDD,5,6.6.2.3_3-EUTRA @-10MHZ;10MHZ;64QAM-PRB@0,20525,-57.2,None,-29.2,dB,-42.22,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3-EUTRA @ 10MHZ;10MHZ;64QAM-PRB@0,20525,-57.2,None,-29.2,dB,-54.19,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3 -UTRA @-12.5MHZ;10MHZ;64QAM-PRB@0,20525,-57.2,None,-35.2,dB,-56.93,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3 -UTRA @-7.5MHZ;10MHZ;64QAM-PRB@0,20525,-57.2,None,-32.2,dB,-42.8,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3 -UTRA @ 7.5MHZ;10MHZ;64QAM-PRB@0,20525,-57.2,None,-32.2,dB,-57.37,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3 -UTRA @ 12.5MHZ;10MHZ;64QAM-PRB@0,20525,-57.2,None,-35.2,dB,-58.47,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3 Adjacent Channel Power for UL 64QAM;10MHZ;64QAM-PRB@Max,20525,-57.2,None,None,dB,24.01,-,,,,,
 LTE-FDD,5,6.6.2.3_3-EUTRA @-10MHZ;10MHZ;64QAM-PRB@Max,20525,-57.2,None,-29.2,dB,-53.53,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3-EUTRA @ 10MHZ;10MHZ;64QAM-PRB@Max,20525,-57.2,None,-29.2,dB,-40.7,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3 -UTRA @-12.5MHZ;10MHZ;64QAM-PRB@Max,20525,-57.2,None,-35.2,dB,-57.59,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3 -UTRA @-7.5MHZ;10MHZ;64QAM-PRB@Max,20525,-57.2,None,-32.2,dB,-56.7,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3 -UTRA @ 7.5MHZ;10MHZ;64QAM-PRB@Max,20525,-57.2,None,-32.2,dB,-41.25,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3 -UTRA @ 12.5MHZ;10MHZ;64QAM-PRB@Max,20525,-57.2,None,-35.2,dB,-56.72,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3 Adjacent Channel Power for UL 64QAM;10MHZ;64QAM-FRB,20525,-57.2,None,None,dB,23.12,-,,,,,
 LTE-FDD,5,6.6.2.3_3-EUTRA @-10MHZ;10MHZ;64QAM-FRB,20525,-57.2,None,-29.2,dB,-40.21,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3-EUTRA @ 10MHZ;10MHZ;64QAM-FRB,20525,-57.2,None,-29.2,dB,-40.13,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3 -UTRA @-12.5MHZ;10MHZ;64QAM-FRB,20525,-57.2,None,-35.2,dB,-46.07,PASS,,,,,
 LTE-FDD,5,6.6.2.3_3 -UTRA @-7.5MHZ;10MHZ;64QAM-FRB,20525,-57.2,None,-32.2,dB,-42.56,PASS,Margin(-10.23),,,,
